branch	branch_descendants	Outgroup	BN_balchen	T_profundal	07_Cpalaea_Biel_123408	BN_albeli	047_Cbenthic_intermediate_Lucerne_28557	C_lp	0109_Cpelagic_intermediate_Lucerne_28719	0129_Calpinus_Thun_123148	BT_balchen	ZW_balchen	099_Czuerichensis_Zurich_175403	ZW_felchen	ZW_albeli	T_lp	023_Cfatioi_Thun_123693	B_felchen	022_Cfatioi_Thun_123690	068_Calpnacherfelchen_Lucerne_26020	BT_albeli	021_Cfatioi_Thun_123669	0132_Cmacrophthalmus_Constance_123471	0123470_Cmacrophthalmus_Constance_123470	066_Calpnacherfelchen_Lucerne_26003	070_Calpnacherfelchen_Lucerne_26004	0108_Cpelagic_intermediate_Lucerne_28716	0107_Cpelagic_intermediate_Lucerne_28599	0128_Carenicolus_Constance_123475	0123458_Cmacrophthalmus_Constance_123458	0127_Carenicolus_Constance_123463	0126_Carenicolus_Constance_123462	050_Cbenthic_intermediate_Lucerne_28648	L_balchen	048_Cpelagic_intermediate_Lucerne_28559	L_profundal	L_albeli
b2	T_profundal,0129_Calpinus_Thun_123148,BT_balchen,B_felchen,022_Cfatioi_Thun_123690,023_Cfatioi_Thun_123693,BT_albeli,021_Cfatioi_Thun_123669,047_Cbenthic_intermediate_Lucerne_28557,ZW_balchen,099_Czuerichensis_Zurich_175403,ZW_felchen,ZW_albeli,C_lp,T_lp,0132_Cmacrophthalmus_Constance_123471,0123470_Cmacrophthalmus_Constance_123470,0128_Carenicolus_Constance_123475,0123458_Cmacrophthalmus_Constance_123458,0127_Carenicolus_Constance_123463,0126_Carenicolus_Constance_123462,0109_Cpelagic_intermediate_Lucerne_28719,068_Calpnacherfelchen_Lucerne_26020,066_Calpnacherfelchen_Lucerne_26003,050_Cbenthic_intermediate_Lucerne_28648,L_balchen,070_Calpnacherfelchen_Lucerne_26004,0108_Cpelagic_intermediate_Lucerne_28716,0107_Cpelagic_intermediate_Lucerne_28599,048_Cpelagic_intermediate_Lucerne_28559,L_profundal,L_albeli	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b3	BN_balchen,07_Cpalaea_Biel_123408,BN_albeli	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b55	050_Cbenthic_intermediate_Lucerne_28648,L_balchen	nan	0	0	0	0	0	0	0.0555463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0.0552069	0.0380743	0	0	0	0	nan	nan	0.0636005	0	0.0868808
b56	070_Calpnacherfelchen_Lucerne_26004	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0.110161
b57	0108_Cpelagic_intermediate_Lucerne_28716	nan	0	0	0	0	0	0.217186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0352432	0	nan	nan	0	0	0.0354027	0.0318379	0	0	0	0	0	0
b58	0107_Cpelagic_intermediate_Lucerne_28599	nan	0	0	0	0	0	0.240714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0413951	0.0317104	0	0	0	nan	0.0437475	0.0405058	0.0347757	0.0391354	0	0.165007	nan	nan	nan
b59	048_Cpelagic_intermediate_Lucerne_28559,L_profundal,L_albeli	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	0	nan	nan	nan
b60	0128_Carenicolus_Constance_123475	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0
b61	0123458_Cmacrophthalmus_Constance_123458	nan	0.12465	0	0	0.146767	0.0281684	0.331789	0.0341362	0.0356177	0.0616336	0	0	0.0936182	0.0705158	0.434059	0.0298381	0.0660408	0.0248868	0	0.0628329	0.0192469	0.0475602	0.057612	0.0260295	0	0.0398006	0.0297366	nan	nan	0	0	0.0214924	0	0.0333408	0.0535526	0.0681158
b62	0127_Carenicolus_Constance_123463	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0
b63	0126_Carenicolus_Constance_123462	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0
b64	050_Cbenthic_intermediate_Lucerne_28648	nan	0	0	0	0	0	0.100567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0214571	nan	nan	0	0	0
b65	L_balchen	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0353623	0	0	0	0	0	0	0	0.0364531	0	0	0	0	nan	nan	0	0	0
b66	048_Cpelagic_intermediate_Lucerne_28559	nan	0.068692	0	0	0	0	0.289451	0.0294344	0	0	0.0489508	0	0	0	0.06437	0	0	0	0.022185	0	0	0.0515719	0.0571232	0.0237503	0	0.0166828	0.015592	0.0450737	0.0480535	0.0507903	0.0449966	0.0660747	0.19046	nan	nan	nan
b67	L_profundal,L_albeli	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0346372	0.090607	0.0274789	0	0.127856	0.0416765	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan
b68	L_profundal	nan	0.131896	0.100023	0.0300807	0.134753	0	0	0	0.0388955	0.173754	0	0	0	0	0	0.0891196	0.314963	0.0983358	0	0.248	0.0835478	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan
b69	L_albeli	nan	0	0	0	0	0.0305036	0	0.0452541	0	0	0	0	0	0	0	0	0	0	0.0505007	0	0	0	0	0.0288097	0.0659808	0.0550758	0.0665478	0	0	0	0	0.0332223	0.111214	0.0689616	nan	nan
